academic_year,author,title,project_id,pdf_url,degree_program,is_msc_ai,submission_year,abstract_snippet,source
2023-2024,"McGrath, Dylan",A Visual Solver For Fair Division - Adding,20247362,https://project-archive.inf.ed.ac.uk/msc/20247362/msc_proj.pdf,MSc Artificial Intelligence,True,2024,A Visual Solver For Fair Division - Adding State-Of-The-Art-Algorithms Dylan McGrath T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract The Fair Slice platform is an educational tool that teaches about envy-free cake-cutting with interactive courses and a resource-splitting tool that uses two simple al,UoE Informatics Outstanding MSc Archive
2023-2024,"Meijer, Melanie",The Art of Digital Deception: Adversarial Evasion of an,20246948,https://project-archive.inf.ed.ac.uk/msc/20246948/msc_proj.pdf,MSc Cyber Security,False,2024,"The Art of Digital Deception: Adversarial Evasion of an Autonomous Cyber Defence Agent Melanie Meijer T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Cyber Security, Privacy and Trust School of Informatics University of Edinburgh 2024 Abstract The increase in frequency and complexity of recent cyber attacks has called for the need of more sophisticated defence systems. To this end,",UoE Informatics Outstanding MSc Archive
2023-2024,"Melesio Sancen, Gerardo",Optimizing Raspberry Pi for Distributed Matrix,20247367,https://project-archive.inf.ed.ac.uk/msc/20247367/msc_proj.pdf,MSc Computer Science,False,2024,Optimizing Raspberry Pi for Distributed Matrix Multiplication: A Communication and Scheduling Framework Gerardo Jesus Melesio Sancen T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract This project develops a communication and job scheduling framework that inte- grates Raspberry Pi 5 computers into a cluster f,UoE Informatics Outstanding MSc Archive
2023-2024,"Mercado Cavazos, Ricardo",Automated Financial Document Summarization using GPT,20247248,https://project-archive.inf.ed.ac.uk/msc/20247248/msc_proj.pdf,MSc School Of Informatics,False,2024,"Automated Financial Document Summarization using GPT Ricardo Mercado Cavazos T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Recently, Large Language Models (LLMs) have demonstrated unparalleled capabilities in understanding, generating and manipulating human language, which has opened the way for new application possibili",UoE Informatics Outstanding MSc Archive
2023-2024,"Merita Torres, Pascual",Retrofitting Vision Transformers via Fixed and Dynamic,20247441,https://project-archive.inf.ed.ac.uk/msc/20247441/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Retrofitting Vision Transformers via Fixed and Dynamic Token Pooling Pascual Merita Torres T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Vision Transformers (ViTs) have demonstrated state-of-the-art performance in image classification tasks. However, they remain inefficient at inference time, hind",UoE Informatics Outstanding MSc Archive
2023-2024,"Mitchell, Charlotte",Studying Bayesian Multimorbidity Networks: The Impact of,20247391,https://project-archive.inf.ed.ac.uk/msc/20247391/msc_proj.pdf,MSc Data Science,False,2024,"Studying Bayesian Multimorbidity Networks: The Impact of Methodological Decisions regarding Social Demographics Charlotte Mitchell T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract Multimorbidity, the presence of multiple long term health conditions in one individ- ual, is a growing public health concern that re",UoE Informatics Outstanding MSc Archive
2023-2024,"Morris, Megan",Evaluation of LLM Generated Multiple Choice Questions,20247200,https://project-archive.inf.ed.ac.uk/msc/20247200/msc_proj.pdf,MSc School Of Informatics,False,2024,"Evaluation of LLM Generated Multiple Choice Questions Motivated by Bloom’s Taxonomy. Megan Morris T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Developing questions for exams and classwork is currently a time consuming task for teachers and instructors [35], however there is potential for large language models to substan",UoE Informatics Outstanding MSc Archive
2023-2024,"Mueller, Melina",Using Tensor Decomposition to Understand the Emergence of,20247361,https://project-archive.inf.ed.ac.uk/msc/20247361/msc_proj.pdf,MSc School Of Informatics,False,2024,Using Tensor Decomposition to Understand the Emergence of Recurrent Neural Networks’ Dynamics Melina M¨uller T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract The activity of a neural population can be studied through a dynamic system perspective. Research that has used this approach to gain insight into the emergence of beh,UoE Informatics Outstanding MSc Archive
2023-2024,"Muhammed, Rijul",Semi-Supervised Learning for Automatic Recognition of Human,20247308,https://project-archive.inf.ed.ac.uk/msc/20247308/msc_proj.pdf,MSc School Of Informatics,False,2024,"Semi-Supervised Learning for Automatic Recognition of Human Head Gestures Rijul Muhammed T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This project explores semi-supervised learning techniques for automatic classification of human head gestures using motion capture data. It investigates self-training, ensem- ble methods,",UoE Informatics Outstanding MSc Archive
2023-2024,"Mujumdar, Shashwat Pushparaj",Measuring transport layer evolvability in the Internet,20246985,https://project-archive.inf.ed.ac.uk/msc/20246985/msc_proj.pdf,MSc School Of Informatics,False,2024,"Measuring transport layer evolvability in the Internet Shashwat Pushparaj Mujumdar T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Internet’s transport layer is responsible for data transfer in the form of packets across communication networks. Intermediary components, known as the middleboxes are claimed to be responsible",UoE Informatics Outstanding MSc Archive
2023-2024,"Nair, Prakash",VertFault: 3D Segmentation from CT Images for Vertebral,20247073,https://project-archive.inf.ed.ac.uk/msc/20247073/msc_proj.pdf,MSc School Of Informatics,False,2024,"VertFault: 3D Segmentation from CT Images for Vertebral Fracture Detection Prakash Nair THEUNIVERSITYOFEDINBURGH Master of Science Artiﬁcial Intelligence School of Informatics University of Edinburgh 2024 Abstract V ertebral fractures are a signiﬁcant medical concern due to their impact on mobility, chronic pain, and overall quality of life, particularly in older populations where osteo- porosis i",UoE Informatics Outstanding MSc Archive
2023-2024,"Ng, Ka Chun",Learning Quantum Computing,20246961,https://project-archive.inf.ed.ac.uk/msc/20246961/msc_proj.pdf,MSc School Of Informatics,False,2024,"Learning Quantum Computing Ka Chun Ng T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Quantum computing represents a significant and promising technology with the potential to significantly enhance computational performance in a range of fields, including finance, biology and artificial intelligence. The growing interest i",UoE Informatics Outstanding MSc Archive
2023-2024,"Noorzaman, Geri",Assessing the Impact of Progressive Licencing Fee Policies,20246994,https://project-archive.inf.ed.ac.uk/msc/20246994/msc_proj.pdf,MSc School Of Informatics,False,2024,"Assessing the Impact of Progressive Licencing Fee Policies on Tobacco Retail Dynamics: An Agent-Based Modeling Approach Geri Noorzaman T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Retailer licensing fees are often regarded as a powerful instrument for reducing tobacco availability. However, their implementation poses ch",UoE Informatics Outstanding MSc Archive
2023-2024,"Ostrow, Ruby",Shrill Girls and Soy Boys: Measuring Gender and Sexuality,20247041,https://project-archive.inf.ed.ac.uk/msc/20247041/msc_proj.pdf,MSc Artificial Intelligence,True,2024,Shrill Girls and Soy Boys: Measuring Gender and Sexuality Stereotypes in LLMs Ruby Ostrow T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This project is concerned with measuring gender and sexual orientation stereotypes in large language models (LLMs) using the Stereotype Content Model (SCM). As th,UoE Informatics Outstanding MSc Archive
2023-2024,"Paritala, Sreehitha",A Motif-Based Network Analysis of Transaction Data from,20247117,https://project-archive.inf.ed.ac.uk/msc/20247117/msc_proj.pdf,MSc School Of Informatics,False,2024,A Motif-Based Network Analysis of Transaction Data from Ekko : To Understand Consumer Behavior and their Carbon Emissions Raga Sreehitha Paritala T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This study investigates the relationship between consumer transaction patterns and carbon emissions using advanced network analysi,UoE Informatics Outstanding MSc Archive
2023-2024,"Piramanayagam, Shriram",Incremental Caching of Large Language Model Requests,20247404,https://project-archive.inf.ed.ac.uk/msc/20247404/msc_proj.pdf,MSc School Of Informatics,False,2024,"Incremental Caching of Large Language Model Requests Shriram Piramanayagam T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Organizations often use Large Language Model (LLM) APIs for tasks like customer support, which can be expensive and pose data privacy risks. To mitigate this, a neural caching framework that uses a sma",UoE Informatics Outstanding MSc Archive
2023-2024,"Ponsford, Dylan",Quantizing Tractable Probabilistic Models,20247295,https://project-archive.inf.ed.ac.uk/msc/20247295/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Quantizing Tractable Probabilistic Models Dylan Ponsford T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Probabilistic circuits (PCs) are a framework for tractable probabilistic models, which allow for exact and efficient computation of common probabilistic queries. Quantization is a method used to ",UoE Informatics Outstanding MSc Archive
2023-2024,"Satheesh, Aman",Automatic Classification of Continuous Human Head Gestures,20247311,https://project-archive.inf.ed.ac.uk/msc/20247311/msc_proj.pdf,MSc School Of Informatics,False,2024,"Automatic Classification of Continuous Human Head Gestures Aman Krishna Satheesh T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This study introduces a two-stage pipeline for continuous head gesture recognition using motion capture data, incorporating the HydraMultiROCKET model for both binary gesture detection and multi-",UoE Informatics Outstanding MSc Archive
2023-2024,"Schulte, Julius",Camera-based Vulnerable Road User detection in real-world,20247268,https://project-archive.inf.ed.ac.uk/msc/20247268/msc_proj.pdf,MSc Computer Science,False,2024,Camera-based Vulnerable Road User detection in real-world situations for automated driving Julius Schulte T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract This study evaluates the camera-based Vulnerable Road User detection system of the Autoware open-source automated driving software framework. An evaluati,UoE Informatics Outstanding MSc Archive
2023-2024,"Sharma, Shivay",MEX: System For Managing Machine Learning Experiment,20247076,https://project-archive.inf.ed.ac.uk/msc/20247076/msc_proj.pdf,MSc School Of Informatics,False,2024,"MEX: System For Managing Machine Learning Experiment Results Shivay Sharma T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This report explores the development of MEX, an easy-to-install and use system designed to manage machine learning experiments and the associated data. MEX streamlines the process by incorporating feat",UoE Informatics Outstanding MSc Archive
2023-2024,"Srikumar, Thejus",Using LLMs to Evaluate Cyber Insurance Policy Coverage,20247327,https://project-archive.inf.ed.ac.uk/msc/20247327/msc_proj.pdf,MSc School Of Informatics,False,2024,Using LLMs to Evaluate Cyber Insurance Policy Coverage Thejus Srikumar T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Cyber insurance policies primarily provide financial backup for the occurrence of any computer-related events such as cyber-attacks. The policies cover two types of losses: first-party loss and third-party,UoE Informatics Outstanding MSc Archive
2023-2024,"Sundrani, Sidhant",Low-Rank Compression of Language Models via Differentiable,20247298,https://project-archive.inf.ed.ac.uk/msc/20247298/msc_proj.pdf,MSc School Of Informatics,False,2024,"Low-Rank Compression of Language Models via Differentiable Rank Selection Sidhant Sundrani T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Approaches for large-language model compression using low-rank decomposition have made strides, particularly with the introduction of activation and loss-aware Singular Value Decomposit",UoE Informatics Outstanding MSc Archive
2023-2024,"Sutanto, William",Vision-Language Pre-trained Model for Visual Grounding with,20247053,https://project-archive.inf.ed.ac.uk/msc/20247053/msc_proj.pdf,MSc School Of Informatics,False,2024,"Vision-Language Pre-trained Model for Visual Grounding with Reasoning Requirement William Sutanto T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Multimodal AI represents a significant milestone in human-machine interaction. One of the fundamental task in Multimodal AI is Visual grounding (VG), a vision-languange task focu",UoE Informatics Outstanding MSc Archive
2023-2024,"Swenson, Kieran",Crafting Scalable Methodologies for Creating,20247297,https://project-archive.inf.ed.ac.uk/msc/20247297/msc_proj.pdf,MSc Data Science,False,2024,"Crafting Scalable Methodologies for Creating Domain-Representative Chart Derendering Datasets Kieran Swenson T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract We present a novel, scalable approach to using multimodal LLMs for creating domain- specific chart derendering datasets. We detail our methodology and app",UoE Informatics Outstanding MSc Archive
2023-2024,"Tang, Yuhang",Web development of MyNewsScan Platform for the Creation of,20247208,https://project-archive.inf.ed.ac.uk/msc/20247208/msc_proj.pdf,MSc Computer Science,False,2024,Web development of MyNewsScan Platform for the Creation of Sustainable User Community Yuhang Tang T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract This study aims to develop online communities through the MyNewsScan news ag- gregator platform to address the problem of information filter bubbles and the spre,UoE Informatics Outstanding MSc Archive
2023-2024,"Timtong, Tanatip",Integrating Stylometry with DeBERTa for Neural Authorship,20247002,https://project-archive.inf.ed.ac.uk/msc/20247002/msc_proj.pdf,MSc Computer Science,False,2024,"Integrating Stylometry with DeBERTa for Neural Authorship Attribution Tanatip Timtong T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract Neural authorship attribution, a subproblem of artificial text detection, involves iden- tifying the LLM that generated a given text. This task is typically solved by traini",UoE Informatics Outstanding MSc Archive
2023-2024,"Turnbull, Callum",Evaluation of 3D Object Detection Models in Autonomous,20246986,https://project-archive.inf.ed.ac.uk/msc/20246986/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Evaluation of 3D Object Detection Models in Autonomous Driving Software Callum Turnbull T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract 3D object detection is an important task in an autonomous driving system. This work evaluates the 3D object detection capabilities of Autoware, an open source auton",UoE Informatics Outstanding MSc Archive
2023-2024,"Vanagas, Patrikas",DART-IDE: A Latent Diffusion Model of Articulated and Textured 3D Shapes,20247465,https://project-archive.inf.ed.ac.uk/msc/20247465/msc_proj.pdf,MSc Artificial Intelligence,True,2024,DART-IDE: A Latent Diffusion Model of Articulated and Textured 3D Shapes with Interpretable Direction Editing Patrikas Vanagas T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Recent advances in generative AI have revolutionised the creation of 2D content but have lagged in generating 3D models. In t,UoE Informatics Outstanding MSc Archive
2023-2024,"Venkatadri Hulagadri, Adithya",Convergence to a Common Protocol in Emergent Communication,20247368,https://project-archive.inf.ed.ac.uk/msc/20247368/msc_proj.pdf,MSc Cognitive Science,False,2024,"Convergence to a Common Protocol in Emergent Communication Adithya Venkatadri Hulagadri T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Cognitive Science School of Informatics University of Edinburgh 2024 Abstract Emergent Communication is a flexible, bottom-up framework for studying the protocols created by artificial agents (sender-receiver pairs) to coordinate and solve tasks. T",UoE Informatics Outstanding MSc Archive
2023-2024,"Vlahos, Filippos",Efficient Large Language Model Invocation over Dynamic,20247389,https://project-archive.inf.ed.ac.uk/msc/20247389/msc_proj.pdf,MSc School Of Informatics,False,2024,"Efficient Large Language Model Invocation over Dynamic Data-Streams Filippos Vlahos T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract As large language models (LLM) achieve groundbreaking performance in increasingly diverse tasks in natural language processing (NLP), many applications invoke them through expensive API calls.",UoE Informatics Outstanding MSc Archive
2023-2024,"Wang, Jiahao",Semi-Supervised Multimodal Polyp Segmentation via Selective,20247066,https://project-archive.inf.ed.ac.uk/msc/20247066/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Semi-Supervised Multimodal Polyp Segmentation via Selective Labelling and Diffusion-Based Augmentation JIAHAO WANG T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract The implementation of deep learning has greatly enhanced polyp segmentation in colonoscopy images. However, supervised learning approache",UoE Informatics Outstanding MSc Archive
2023-2024,"Wang, Zizhe",Masked Language Model Helps Implicit Discourse Relation,20247390,https://project-archive.inf.ed.ac.uk/msc/20247390/msc_proj.pdf,MSc School Of Informatics,False,2024,"Masked Language Model Helps Implicit Discourse Relation Recognition Zizhe Wang T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This study employs a pre-trained Masked Language Model (MLM) to explore Implicit Discourse Relation Recognition (IDRR), enhancing the automated identification of discourse relations without explici",UoE Informatics Outstanding MSc Archive
2023-2024,"Welch, David",Refining a Data-Driven Approach for the Prediction of,20247444,https://project-archive.inf.ed.ac.uk/msc/20247444/msc_proj.pdf,MSc Data Science,False,2024,Refining a Data-Driven Approach for the Prediction of Hiking Speeds David Welch Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract This study investigates the application of Wood’s data-driven hiking speed prediction methodology proposed in “Improved prediction of hiking speeds using a data-driven approach” to a Swiss dataset. Using Global Positioning System,UoE Informatics Outstanding MSc Archive
2023-2024,"Wiebe, Ryan",Distributed Matrix Multiplication using Raspberry Pis,20247462,https://project-archive.inf.ed.ac.uk/msc/20247462/msc_proj.pdf,MSc Computer Science,False,2024,Distributed Matrix Multiplication using Raspberry Pis Ryan Wiebe T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract The rapid growth of the Internet of Things has led to machine learning being increasingly used for safety-critical applications such as autonomous vehicles. The current paradigm of offloading co,UoE Informatics Outstanding MSc Archive
2023-2024,"Wong, Toby",Composed Image Retrieval in Fashion Using CLIP-based,20247292,https://project-archive.inf.ed.ac.uk/msc/20247292/msc_proj.pdf,MSc School Of Informatics,False,2024,"Composed Image Retrieval in Fashion Using CLIP-based Multimodal Fusion Chen Jing Wong T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This research addresses the challenges of Composed Image Retrieval (CIR) in the fashion domain, where the rapid turnover of products and fragmented online invento- ries present unique diffic",UoE Informatics Outstanding MSc Archive
2023-2024,"Xiao, Yukai",Measuring transport layer evolvability in the Internet,20246969,https://project-archive.inf.ed.ac.uk/msc/20246969/msc_proj.pdf,MSc School Of Informatics,False,2024,"Measuring transport layer evolvability in the Internet Yukai Xiao T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Evolvability is often an beneficial design principle when technology is created, and transport layer protocols such as TCP and QUIC follow this principle. However, with the diversification and complexity of net",UoE Informatics Outstanding MSc Archive
2023-2024,"Yan, Ke",Decision Transformer vs. Decision Mamba: Analysing the,20247180,https://project-archive.inf.ed.ac.uk/msc/20247180/msc_proj.pdf,MSc Artificial Intelligence,True,2024,Decision Transformer vs. Decision Mamba: Analysing the Complexity of Sequential Decision Making in Atari Games Ke Yan T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This work analyses the disparity in performance between Decision Transformer (DT) and Decision Mamba (DM) in sequence modelling reinfo,UoE Informatics Outstanding MSc Archive
2023-2024,"Zhang, Ruiyu",Accelerated Decipherment for Zero-resource Automatic Speech,20247253,https://project-archive.inf.ed.ac.uk/msc/20247253/msc_proj.pdf,MSc Artificial Intelligence,True,2024,Accelerated Decipherment for Zero-resource Automatic Speech Recognition Ruiyu Zhang T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This dissertation addresses the challenges of developing efficient Automatic Speech Recognition systems for low-resource languages without any manual transcription by f,UoE Informatics Outstanding MSc Archive
2023-2024,"Zhao, Yikun",Browser-Based 3D Gallery To Showcase Student Work,20247085,https://project-archive.inf.ed.ac.uk/msc/20247085/msc_proj.pdf,MSc School Of Informatics,False,2024,Browser-Based 3D Gallery To Showcase Student Work Yikun Zhao T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This report presents a browser-based 3D gallery to provide students with an immersive and interactive display platform to showcase their work. This report analyses and evaluates the technical difficulties and advant,UoE Informatics Outstanding MSc Archive
2023-2024,"Zhu, Xiaoya",Browser-Based 3D-Gallery To Showcase Student Work,20247353,https://project-archive.inf.ed.ac.uk/msc/20247353/msc_proj.pdf,MSc Artificial Intelligence,True,2024,Browser-Based 3D-Gallery To Showcase Student Work Xiaoya Zhu T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Current research on designing intuitive and accessible 3D virtual gallery platforms for displaying users’ works remains limited. This project focuses on developing a browser-based 3D gallery ,UoE Informatics Outstanding MSc Archive
